artist_raw,primary_artist,songs,plays
F.R. David,F.R. David,2,48
FIFTY FIFTY (피프티피프티),FIFTY FIFTY (피프티피프티),1,175
FKJ & Tom Misch,FKJ,1,47
FKJ,FKJ,1,26
FUR,FUR,1,75
Faith Hill,Faith Hill,1,11
Fake Blood,Fake Blood,1,194
Fakear,Fakear,1,27
Falco,Falco,1,24
Fall Out Boy,Fall Out Boy,12,193
Family Guy,Family Guy,1,168
Fantompower,Fantompower,1,100
Far East Movement,Far East Movement,1,16
Fatal Bazooka,Fatal Bazooka,4,70
Fatboy Slim,Fatboy Slim,2,126
Fatboy Slim & Riva Starr,Fatboy Slim,1,40
Father,Father,1,18
Faudel,Faudel,1,33
"Faul, Wad Ad, Pnau","Faul, Wad Ad, Pnau",1,38
Fedde Le Grand,Fedde Le Grand,1,35
Fede Klotz,Fede Klotz,1,31
Feder,Feder,2,156
Feirtag,Feirtag,1,21
Felix Jaehn,Felix Jaehn,1,7
Fergie,Fergie,1,4
Fetty Wap,Fetty Wap,2,28
Fifty Fifty,Fifty Fifty,1,145
Fiji Blue,Fiji Blue,1,145
Filous & Clementine,Filous & Clementine,1,26
Finger and Kadel,Finger,1,15
First Choice,First Choice,1,19
Fitz and the Tantrums,Fitz,2,36
Five for Fighting,Five for Fighting,3,57
Flako,Flako,1,12
Flamingosis,Flamingosis,1,58
Flatsound,Flatsound,1,34
Fleetwood Mac,Fleetwood Mac,4,251
Fleur East,Fleur East,1,43
